Date,Circle,Division,PSS,Equipment Name,PTR No.,PTR Capacity (MVA),Max Voltage,Time,Min Voltage,Time,Max Loading,Time,Min Loading,Time,Remarks
,,,,, , ,(kV),(hh:mm),(kV),(hh:mm),(Amp),(hh:mm),(Amp),(hh:mm),
1/10/2025,RKL,SED,lephripada,33kV I/C-1 (GSS), , , , , , ,30,2:00:00,23,0:00:00, 
1/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (33kV), , , , , , , , , , , 
1/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (33kV), , , , , , ,21,17:00:00,14,22:00:00, 
1/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (11kV), , , , , , ,54,19:00:00,42,3:00:00, 
1/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (11kV), , , , , , , , , , , 
1/10/2025,RKL,SED,lephripada,11kV lephripada,1,5, , , , ,15,22:00:00,11,11:00:00, 
1/10/2025,RKL,SED,lephripada,11kV chatenpali,1,5, , , , ,13,10:00:00,11,15:00:00, 
1/10/2025,RKL,SED,lephripada,11kV kulabira,1,5, , , , ,20,18:00:00,12,0:00:00, 
1/10/2025,RKL,SED,lephripada,11kV dumabahal,1,5, , , , ,0.81,7:00:00,0.61,9:00:00, 
1/10/2025,RKL,SED,lephripada,11kV gunia dihi ,3,3, , , , , , , , , 
1/10/2025,RKL,SED,lephripada,11kV dmf,3,3,26.58,7:00:00,26.4,21:00:00,4.5,19:00:00,4.3,4:00:00, 
1/10/2025,RKL,SED,lephripada,Station Transformer (33kV/0.415kV), , , , , , , , , , , 
1/10/2025,RKL,SED,lephripada,Charger 48/24 Volt (O/P DC in Volt), , ,5,0:00:00,0,0:00:00, , , , , 
2/10/2025,RKL,SED,lephripada,33kV I/C-1 (GSS), , , , , , , , , , , 
2/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (33kV), , , , , , , , , , , 
2/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (33kV), , , , , , ,21,4:00:00,7,18:00:00, 
2/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (11kV), , , , , , ,55,5:00:00,43,10:00:00, 
2/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (11kV), , , , , , , , , , , 
2/10/2025,RKL,SED,lephripada,11kV lephripada,1,5, , , , ,19,2:00:00,10,15:00:00, 
2/10/2025,RKL,SED,lephripada,11kV chatenpali,1,5, , , , ,26,4:00:00,14,11:00:00, 
2/10/2025,RKL,SED,lephripada,11kV kulabira,1,5, , , , ,16,19:00:00,12,4:00:00, 
